Wavelength,Black,Grey,White
452,4.794032737,10.8918233,73.97245373
453,4.788579202,10.88457067,73.99640879
454,4.782431329,10.86806044,74.01926631
455,4.7852055,10.83734743,74.03838045
456,4.762913491,10.82658038,74.05473201
457,4.752137155,10.81444938,74.07936954
458,4.751494629,10.79905963,74.10667227
459,4.751170572,10.77465278,74.10871926
460,4.756718152,10.76200902,74.11819796
461,4.758134148,10.75104963,74.12788215
462,4.746343549,10.73455084,74.13229636
463,4.754250764,10.72808237,74.15412344
464,4.751153486,10.72409244,74.16531547
465,4.73644625,10.72086355,74.16553862
466,4.733548535,10.71042495,74.17817808
467,4.723252609,10.6797028,74.18991592
468,4.711635286,10.64860241,74.19716903
469,4.705718832,10.64179701,74.19357839
470,4.723391054,10.63761696,74.20383829
471,4.721870832,10.63085156,74.2111541
472,4.694070431,10.61994209,74.21244635
473,4.70166853,10.59674454,74.21921952
474,4.696793361,10.5800522,74.21893791
475,4.685553281,10.56716268,74.21018346
476,4.677348502,10.55427899,74.1860756
477,4.66428615,10.54364656,74.19322182
478,4.658345851,10.53491002,74.20522606
479,4.664563517,10.5281848,74.21370444
480,4.645811223,10.52200841,74.20971729
481,4.642862263,10.51013568,74.19832198
482,4.647524929,10.49515436,74.18578321
483,4.633797793,10.48465065,74.1926363
484,4.638774176,10.47038102,74.18653561
485,4.640939946,10.45493297,74.17266167
486,4.627387749,10.43937507,74.15186945
487,4.639811025,10.44275529,74.15490081
488,4.637265409,10.43517827,74.14635945
489,4.622613798,10.41845494,74.12658278
490,4.624627164,10.41185919,74.10760315
491,4.623667995,10.40296921,74.09303699
492,4.617745424,10.3929236,74.08635412
493,4.603165148,10.38227693,74.09359079
494,4.61323437,10.36735074,74.07186732
495,4.617558385,10.35184604,74.0548438
496,4.612558178,10.33707694,74.04570182
497,4.612178871,10.33472294,74.01897315
498,4.614080008,10.32279176,74.0015079
499,4.615530473,10.30753731,73.99142619
500,4.611867879,10.29748891,73.98899937
501,4.593538395,10.28402097,73.96948226
502,4.580364528,10.27305295,73.94891009
503,4.577973619,10.26634423,73.93152808
504,4.567349279,10.25922023,73.91426482
505,4.571541263,10.25599219,73.89778086
506,4.579863733,10.25318,73.87946168
507,4.565448559,10.24153582,73.85113225
508,4.561258723,10.21963072,73.8310878
509,4.557256136,10.20405497,73.81590817
510,4.548881225,10.20353234,73.80490738
511,4.5453317,10.19167068,73.76470501
512,4.541427006,10.18093294,73.74099086
513,4.537487854,10.17153907,73.72916372
514,4.535938409,10.16255904,73.70456835
515,4.538259185,10.15558165,73.68840302
516,4.540141418,10.1479335,73.66980879
517,4.53826011,10.13734966,73.63979786
518,4.527825206,10.1266862,73.6107799
519,4.528418369,10.11931741,73.59782722
520,4.538300784,10.11492721,73.59768956
521,4.527011515,10.10842326,73.57201501
522,4.52999822,10.09731375,73.5512647
523,4.534917042,10.08503784,73.53067729
524,4.527823101,10.07507541,73.50431852
525,4.524019008,10.06774266,73.4795761
526,4.521440974,10.05911355,73.45891467
527,4.519889767,10.04881949,73.4423064
528,4.523234465,10.04729688,73.41614748
529,4.518459355,10.04041315,73.39304161
530,4.510271105,10.03067184,73.37065727
531,4.506134835,10.02146993,73.34445345
532,4.507343229,10.01553239,73.31708874
533,4.506111504,10.00780032,73.29417826
534,4.499574169,9.996358677,73.2779854
535,4.505175265,9.988289041,73.25320605
536,4.502206613,9.979677401,73.22968317
537,4.495436973,9.971411581,73.2061343
538,4.499445292,9.966619644,73.17761773
539,4.496249201,9.961016902,73.15164436
540,4.492962704,9.953032821,73.12432236
541,4.493480945,9.941159947,73.0929803
542,4.481052584,9.936960249,73.06231876
543,4.478483863,9.931126417,73.03816183
544,4.484230794,9.924213249,73.01827784
545,4.480475383,9.923694576,72.98663206
546,4.479848052,9.91605232,72.9558099
547,4.477799454,9.903964826,72.92679609
548,4.469232312,9.888275002,72.90104651
549,4.471212564,9.883650072,72.87642062
550,4.47053691,9.877588486,72.84854873
551,4.466108701,9.868719461,72.81707351
552,4.47242005,9.865914801,72.78777028
553,4.470557271,9.861620734,72.75811668
554,4.464343538,9.855142022,72.72729487
555,4.45788192,9.844250711,72.69306915
556,4.461663527,9.838689835,72.67869564
557,4.465692834,9.83399696,72.65879268
558,4.467238305,9.829039342,72.62617025
559,4.463891401,9.826444135,72.60650949
560,4.46202591,9.814665482,72.57312822
561,4.461816694,9.800721895,72.53554369
562,4.464508549,9.802823416,72.51777907
563,4.460517388,9.794231648,72.49551265
564,4.456653212,9.785207502,72.47191762
565,4.456111821,9.780426327,72.44811608
566,4.453354342,9.77200413,72.42539263
567,4.451850501,9.769242526,72.40056468
568,4.450928205,9.769464904,72.37436527
569,4.446930951,9.75925088,72.35045691
570,4.44802697,9.754623177,72.32802274
571,4.447783142,9.750113148,72.30612902
572,4.440757237,9.741497995,72.28416171
573,4.442325171,9.732852087,72.26294544
574,4.443343002,9.727217245,72.23709335
575,4.44298087,9.724340331,72.20800122
576,4.442727349,9.719075206,72.19378343
577,4.43708444,9.710368765,72.17053469
578,4.432915789,9.702044979,72.14661169
579,4.439571495,9.69911561,72.1322982
580,4.43262894,9.691344512,72.10226846
581,4.429985188,9.685428231,72.07095193
582,4.434865409,9.682748933,72.0417183
583,4.429547883,9.680310218,72.02539318
584,4.429937149,9.67557512,72.00249954
585,4.432367688,9.669382112,71.97724691
586,4.430142466,9.662809421,71.95734195
587,4.429336309,9.655591856,71.93171633
588,4.429761934,9.650231995,71.90366916
589,4.431534016,9.64787975,71.87400684
590,4.430025597,9.642516248,71.84807787
591,4.430614144,9.637754449,71.81945646
592,4.431636596,9.633045975,71.79001711
593,4.426305113,9.626034516,71.76775763
594,4.425866177,9.620824263,71.74424885
595,4.425784081,9.616522016,71.72091315
596,4.423213063,9.61281281,71.69872562
597,4.423328769,9.609486602,71.66598223
598,4.424796412,9.605391064,71.64189649
599,4.426620038,9.599986208,71.62607508
600,4.422710857,9.589950783,71.60634509
601,4.420771552,9.583193488,71.58844951
602,4.421456728,9.579710929,71.57182878
603,4.426505003,9.580809306,71.55639836
604,4.418651984,9.5752055,71.53544216
605,4.415277297,9.568222204,71.51617684
606,4.418339739,9.560900578,71.4994743
607,4.411714743,9.556469506,71.47977775
608,4.417402681,9.555971067,71.46844822
609,4.424755939,9.555839552,71.45826867
610,4.416322922,9.550136654,71.43748245
611,4.412920553,9.546098491,71.43051259
612,4.410395735,9.542066439,71.42401475
613,4.407726219,9.537537842,71.41425553
614,4.411956228,9.529754733,71.40512974
615,4.413149478,9.526180332,71.3983144
616,4.412956347,9.525747769,71.39075778
617,4.415551629,9.526689124,71.37342793
618,4.409306176,9.523471161,71.36582503
619,4.405680972,9.519024113,71.35960866
620,4.410928118,9.514501666,71.35102648
621,4.409594979,9.509086522,71.3395915
622,4.411835643,9.505589604,71.32588446
623,4.416130772,9.503389767,71.30999874
624,4.413158916,9.499101865,71.29187745
625,4.412340932,9.495317836,71.27962402
626,4.411981784,9.492221984,71.26748252
627,4.410862445,9.490221448,71.2508526
628,4.405451161,9.481897906,71.24479215
629,4.404848678,9.477800768,71.22997858
630,4.409549229,9.478861957,71.20762131
631,4.413766224,9.481776635,71.20998264
632,4.410580957,9.475961853,71.1878943
633,4.406115922,9.469198909,71.15409718
634,4.407723276,9.471106417,71.12004271
635,4.407455211,9.465457265,71.11410222
636,4.407581487,9.460626202,71.10165374
637,4.408670107,9.458281258,71.07540407
638,4.412005403,9.451615764,71.06042574
639,4.409972225,9.444527214,71.03494034
640,4.405832259,9.438067448,71.00624733
641,4.406162224,9.434952732,70.98971001
642,4.400877164,9.42997053,70.96484249
643,4.39925147,9.425992986,70.93949477
